transactionDate,assetDescription,readyTime,readyTimeUOM,CO2eFactor,engineIdleAFC,dieselSavedVolume,dieselSavedVolumeUOM,dieselRate,dieselRateUOM,dieselSavedCost,CO2eReduction,CO2eReductionUOM,chargeAmount,currency
2022-06-06T00:00:00.000Z,Pump_9,8,hour,10.21 kg/gal,15.06 gal/hr,120.48,gal,5.61,USD / gal,669.87,1230.1,kg,232.6,USD
2022-06-06T00:00:00.000Z,Pump_10,9.6,hour,10.21 kg/gal,12.00 gal/hr,115.2,gal,5.61,USD / gal,639.36,1176.19,kg,226.5,USD
2022-06-06T00:00:00.000Z,Pump_11,9.4,hour,10.21 kg/gal,12.00 gal/hr,112.8,gal,5.61,USD / gal,658.75,1151.69,kg,230.38,USD
2022-06-06T00:00:00.000Z,Pump_12,9.9,hour,10.21 kg/gal,12.00 gal/hr,118.8,gal,5.61,USD / gal,642.71,1212.95,kg,227.17,USD
2022-06-06T00:00:00.000Z,Pump_13,6.7,hour,10.21 kg/gal,12.00 gal/hr,80.4,gal,5.61,USD / gal,473.56,820.88,kg,193.34,USD
2022-06-06T00:00:00.000Z,Pump_14,7.5,hour,10.21 kg/gal,12.00 gal/hr,90,gal,5.61,USD / gal,521.1,918.9,kg,202.85,USD
2022-06-06T00:00:00.000Z,Pump_15,9.7,hour,10.21 kg/gal,12.00 gal/hr,116.4,gal,5.61,USD / gal,682.1,1188.44,kg,235.05,USD
2022-06-06T00:00:00.000Z,Pump_16,8.9,hour,10.21 kg/gal,12.00 gal/hr,106.8,gal,5.61,USD / gal,601.28,1090.43,kg,218.89,USD
2022-06-06T00:00:00.000Z,Pump_17,4.7,hour,10.21 kg/gal,12.00 gal/hr,56.4,gal,5.61,USD / gal,332.2,575.84,kg,165.07,USD
2022-06-06T00:00:00.000Z,Pump_18,9.6,hour,10.21 kg/gal,12.00 gal/hr,115.2,gal,5.61,USD / gal,646.27,1176.19,kg,227.88,USD
2022-06-06T00:00:00.000Z,Pump_19,9.3,hour,10.21 kg/gal,12.00 gal/hr,111.6,gal,5.61,USD / gal,621.61,1139.44,kg,222.95,USD
2022-06-06T00:00:00.000Z,Pump_20,10.1,hour,10.21 kg/gal,12.00 gal/hr,121.2,gal,5.61,USD / gal,706.6,1237.45,kg,239.95,USD
2022-06-07T00:00:00.000Z,Pump_1,4.3,hour,10.21 kg/gal,15.06 gal/hr,64.76,gal,5.47,USD / gal,351.64,661.18,kg,168.96,USD
2022-06-07T00:00:00.000Z,Pump_2,7,hour,10.21 kg/gal,15.06 gal/hr,105.42,gal,5.47,USD / gal,617.76,1076.34,kg,222.18,USD
2022-06-07T00:00:00.000Z,Pump_3,9,hour,10.21 kg/gal,15.06 gal/hr,135.54,gal,5.47,USD / gal,764.45,1383.86,kg,251.52,USD
2022-06-07T00:00:00.000Z,Pump_4,9.7,hour,10.21 kg/gal,15.06 gal/hr,146.08,gal,5.47,USD / gal,837.05,1491.5,kg,266.04,USD
2022-06-07T00:00:00.000Z,Pump_5,7.5,hour,10.21 kg/gal,15.06 gal/hr,112.95,gal,5.47,USD / gal,653.98,1153.22,kg,229.43,USD
2022-06-07T00:00:00.000Z,Pump_6,7.9,hour,10.21 kg/gal,15.06 gal/hr,118.97,gal,5.47,USD / gal,673.39,1214.72,kg,233.31,USD
2022-06-07T00:00:00.000Z,Pump_7,9,hour,10.21 kg/gal,15.06 gal/hr,135.54,gal,5.47,USD / gal,782.07,1383.86,kg,255.04,USD
2022-06-07T00:00:00.000Z,Pump_8,7,hour,10.21 kg/gal,15.06 gal/hr,105.42,gal,5.47,USD / gal,575.59,1076.34,kg,213.75,USD
2022-06-07T00:00:00.000Z,Pump_9,8.8,hour,10.21 kg/gal,15.06 gal/hr,132.53,gal,5.47,USD / gal,719.63,1353.11,kg,242.56,USD
2022-06-07T00:00:00.000Z,Pump_10,6.9,hour,10.21 kg/gal,12.00 gal/hr,82.8,gal,5.47,USD / gal,467.82,845.39,kg,192.19,USD
2022-06-07T00:00:00.000Z,Pump_11,9.4,hour,10.21 kg/gal,12.00 gal/hr,112.8,gal,5.47,USD / gal,631.68,1151.69,kg,224.97,USD
2022-06-07T00:00:00.000Z,Pump_12,10.1,hour,10.21 kg/gal,12.00 gal/hr,121.2,gal,5.47,USD / gal,670.24,1237.45,kg,232.68,USD
2022-06-07T00:00:00.000Z,Pump_13,7.5,hour,10.21 kg/gal,12.00 gal/hr,90,gal,5.47,USD / gal,513,918.9,kg,201.23,USD
2022-06-07T00:00:00.000Z,Pump_14,8.5,hour,10.21 kg/gal,12.00 gal/hr,102,gal,5.47,USD / gal,588.54,1041.42,kg,216.34,USD
2022-06-07T00:00:00.000Z,Pump_15,7.5,hour,10.21 kg/gal,12.00 gal/hr,90,gal,5.47,USD / gal,526.5,918.9,kg,203.93,USD
2022-06-07T00:00:00.000Z,Pump_16,8,hour,10.21 kg/gal,12.00 gal/hr,96,gal,5.47,USD / gal,555.84,980.16,kg,209.8,USD
2022-06-07T00:00:00.000Z,Pump_17,4.7,hour,10.21 kg/gal,12.00 gal/hr,56.4,gal,5.47,USD / gal,319.22,575.84,kg,162.47,USD
2022-06-07T00:00:00.000Z,Pump_18,6.2,hour,10.21 kg/gal,12.00 gal/hr,74.4,gal,5.47,USD / gal,430.03,759.62,kg,184.64,USD
2022-06-07T00:00:00.000Z,Pump_19,9.9,hour,10.21 kg/gal,12.00 gal/hr,118.8,gal,5.47,USD / gal,637.96,1212.95,kg,226.22,USD
2022-06-07T00:00:00.000Z,Pump_20,10.5,hour,10.21 kg/gal,12.00 gal/hr,126,gal,5.47,USD / gal,715.68,1286.46,kg,241.77,USD
2022-06-08T00:00:00.000Z,Pump_1,10,hour,10.21 kg/gal,15.06 gal/hr,150.6,gal,5.66,USD / gal,859.93,1537.63,kg,270.62,USD
2022-06-08T00:00:00.000Z,Pump_2,9.3,hour,10.21 kg/gal,15.06 gal/hr,140.06,gal,5.66,USD / gal,795.53,1429.99,kg,257.74,USD
2022-06-08T00:00:00.000Z,Pump_3,8.9,hour,10.21 kg/gal,15.06 gal/hr,134.03,gal,5.66,USD / gal,769.36,1368.49,kg,252.5,USD
2022-06-08T00:00:00.000Z,Pump_4,10.1,hour,10.21 kg/gal,15.06 gal/hr,152.11,gal,5.66,USD / gal,880.69,1553,kg,274.77,USD
2022-06-08T00:00:00.000Z,Pump_5,7.4,hour,10.21 kg/gal,15.06 gal/hr,111.44,gal,5.66,USD / gal,655.29,1137.84,kg,229.69,USD
2022-06-08T00:00:00.000Z,Pump_6,7.2,hour,10.21 kg/gal,15.06 gal/hr,108.43,gal,5.66,USD / gal,616.98,1107.09,kg,222.03,USD
2022-06-08T00:00:00.000Z,Pump_7,8.9,hour,10.21 kg/gal,15.06 gal/hr,134.03,gal,5.66,USD / gal,786.78,1368.49,kg,255.99,USD
2022-06-08T00:00:00.000Z,Pump_8,12.9,hour,10.21 kg/gal,15.06 gal/hr,194.27,gal,5.66,USD / gal,1093.76,1983.54,kg,317.38,USD
2022-06-08T00:00:00.000Z,Pump_9,8.8,hour,10.21 kg/gal,15.06 gal/hr,132.53,gal,5.66,USD / gal,760.71,1353.11,kg,250.77,USD
2022-06-08T00:00:00.000Z,Pump_10,7.2,hour,10.21 kg/gal,12.00 gal/hr,86.4,gal,5.66,USD / gal,474.34,882.14,kg,193.5,USD
2022-06-08T00:00:00.000Z,Pump_11,10,hour,10.21 kg/gal,12.00 gal/hr,120,gal,5.66,USD / gal,668.4,1225.2,kg,232.31,USD
2022-06-08T00:00:00.000Z,Pump_12,9.5,hour,10.21 kg/gal,12.00 gal/hr,114,gal,5.66,USD / gal,656.64,1163.94,kg,229.96,USD
2022-06-08T00:00:00.000Z,Pump_13,7,hour,10.21 kg/gal,12.00 gal/hr,84,gal,5.66,USD / gal,481.32,857.64,kg,194.89,USD
2022-06-08T00:00:00.000Z,Pump_14,8.9,hour,10.21 kg/gal,12.00 gal/hr,106.8,gal,5.66,USD / gal,587.4,1090.43,kg,216.11,USD
2022-06-08T00:00:00.000Z,Pump_15,7.2,hour,10.21 kg/gal,12.00 gal/hr,86.4,gal,5.66,USD / gal,463.97,882.14,kg,191.42,USD
2022-06-08T00:00:00.000Z,Pump_16,7.6,hour,10.21 kg/gal,12.00 gal/hr,91.2,gal,5.66,USD / gal,506.16,931.15,kg,199.86,USD
2022-06-08T00:00:00.000Z,Pump_17,9.3,hour,10.21 kg/gal,12.00 gal/hr,111.6,gal,5.66,USD / gal,603.76,1139.44,kg,219.38,USD
2022-06-08T00:00:00.000Z,Pump_18,7,hour,10.21 kg/gal,12.00 gal/hr,84,gal,5.66,USD / gal,477.12,857.64,kg,194.05,USD
2022-06-08T00:00:00.000Z,Pump_19,8.2,hour,10.21 kg/gal,12.00 gal/hr,98.4,gal,5.66,USD / gal,567.77,1004.66,kg,212.18,USD
2022-06-08T00:00:00.000Z,Pump_20,9.5,hour,10.21 kg/gal,12.00 gal/hr,114,gal,5.66,USD / gal,617.88,1163.94,kg,222.21,USD
2022-06-09T00:00:00.000Z,Pump_1,6.7,hour,10.21 kg/gal,15.06 gal/hr,100.9,gal,5.74,USD / gal,559,1030.21,kg,210.43,USD
2022-06-09T00:00:00.000Z,Pump_2,9.5,hour,10.21 kg/gal,15.06 gal/hr,143.07,gal,5.74,USD / gal,835.53,1460.74,kg,265.74,USD
2022-06-09T00:00:00.000Z,Pump_3,8.5,hour,10.21 kg/gal,15.06 gal/hr,128.01,gal,5.74,USD / gal,723.26,1306.98,kg,243.28,USD
2022-06-09T00:00:00.000Z,Pump_4,10.1,hour,10.21 kg/gal,15.06 gal/hr,152.11,gal,5.74,USD / gal,833.54,1553,kg,265.34,USD
2022-06-09T00:00:00.000Z,Pump_5,6.6,hour,10.21 kg/gal,15.06 gal/hr,99.4,gal,5.74,USD / gal,537.73,1014.83,kg,206.18,USD
2022-06-09T00:00:00.000Z,Pump_6,8.7,hour,10.21 kg/gal,15.06 gal/hr,131.02,gal,5.74,USD / gal,725.86,1337.73,kg,243.8,USD
2022-06-09T00:00:00.000Z,Pump_7,9.6,hour,10.21 kg/gal,15.06 gal/hr,144.58,gal,5.74,USD / gal,792.28,1476.12,kg,257.09,USD
2022-06-09T00:00:00.000Z,Pump_8,8.1,hour,10.21 kg/gal,15.06 gal/hr,121.99,gal,5.74,USD / gal,701.42,1245.48,kg,238.91,USD
2022-06-09T00:00:00.000Z,Pump_9,7.7,hour,10.21 kg/gal,15.06 gal/hr,115.96,gal,5.74,USD / gal,648.23,1183.97,kg,228.28,USD
2022-06-09T00:00:00.000Z,Pump_10,6.7,hour,10.21 kg/gal,12.00 gal/hr,80.4,gal,5.74,USD / gal,469.54,820.88,kg,192.54,USD
2022-06-09T00:00:00.000Z,Pump_11,9.5,hour,10.21 kg/gal,12.00 gal/hr,114,gal,5.74,USD / gal,627,1163.94,kg,224.03,USD
2022-06-09T00:00:00.000Z,Pump_12,10.3,hour,10.21 kg/gal,12.00 gal/hr,123.6,gal,5.74,USD / gal,681.04,1261.96,kg,234.84,USD
2022-06-09T00:00:00.000Z,Pump_13,6.5,hour,10.21 kg/gal,12.00 gal/hr,78,gal,5.74,USD / gal,426.66,796.38,kg,183.96,USD
2022-06-09T00:00:00.000Z,Pump_14,7.3,hour,10.21 kg/gal,12.00 gal/hr,87.6,gal,5.74,USD / gal,477.42,894.4,kg,194.11,USD
2022-06-09T00:00:00.000Z,Pump_15,7.8,hour,10.21 kg/gal,12.00 gal/hr,93.6,gal,5.74,USD / gal,551.3,955.66,kg,208.89,USD
2022-06-09T00:00:00.000Z,Pump_16,8.5,hour,10.21 kg/gal,12.00 gal/hr,102,gal,5.74,USD / gal,600.78,1041.42,kg,218.79,USD
2022-06-09T00:00:00.000Z,Pump_17,6.8,hour,10.21 kg/gal,12.00 gal/hr,81.6,gal,5.74,USD / gal,444.72,833.14,kg,187.57,USD
